#"+ESI EIC(895.3979) Scan Frag=175.0V PnIA-ClK.d "
#Point,X(Minutes),Y(Counts)
297,6.010,0
298,6.027,0
#"+ESI EIC(896.4057) Scan Frag=175.0V PnIA-ClK.d "
#Point,X(Minutes),Y(Counts)
0,1.059,0
1,1.076,0
2,1.093,0
3,1.109,0
4,1.126,0
5,1.143,0
6,1.159,0
7,1.176,0
8,1.193,0
9,1.209,0
10,1.226,0
11,1.243,0
12,1.259,0
13,1.276,0
14,1.293,0
15,1.309,0
16,1.326,0
17,1.343,0
18,1.359,0
19,1.376,0
20,1.393,0
21,1.409,0
22,1.426,0
23,1.443,0
24,1.459,0
25,1.476,0
26,1.493,0
27,1.509,0
28,1.526,0
29,1.543,0
30,1.559,0
31,1.576,0
32,1.593,0
33,1.609,0
34,1.626,0
35,1.643,0
36,1.659,0
37,1.676,0
38,1.693,0
39,1.709,0
40,1.726,0
41,1.743,0
42,1.759,0
43,1.776,0
44,1.793,0
45,1.809,0
46,1.826,0
47,1.843,0
48,1.859,0
49,1.876,0
50,1.893,0
51,1.909,0
52,1.926,0
53,1.943,0
54,1.959,0
55,1.976,0
56,1.993,0.0174849396219788
57,2.009,0
58,2.026,0
59,2.043,0
60,2.059,0
61,2.076,0
62,2.093,0
63,2.110,0
64,2.126,0
65,2.143,0
66,2.160,0
67,2.176,0
68,2.193,0
69,2.210,0.012758001427187
70,2.226,0
71,2.243,0
72,2.260,0
73,2.276,0.00817318592192778
74,2.293,0
75,2.310,0
76,2.326,0
77,2.343,0
78,2.360,0
79,2.376,0
80,2.393,0
81,2.410,0
82,2.426,0
83,2.443,0
84,2.460,0
85,2.476,0
86,2.493,0.0308607032960274
87,2.510,0
88,2.526,0
89,2.543,0
90,2.560,0
91,2.576,0
92,2.593,0
93,2.610,0
94,2.626,0.464781665693518
95,2.643,0.598784507359276
96,2.660,0.666918476673031
97,2.676,2.39593954489549
98,2.693,63.2131189766011
99,2.710,0
100,2.726,0
101,2.743,0
102,2.760,100
103,2.776,92.7483286601152
104,2.793,80.0174369155441
105,2.810,55.7250964320312
106,2.826,34.1427148376868
107,2.843,21.4526416898043
108,2.860,14.4524644635647
109,2.876,10.26860181187
110,2.893,7.66654317391456
111,2.910,6.64166935515392
112,2.926,6.00508977952084
113,2.943,4.81352657882365
114,2.960,3.13567599555426
115,2.976,2.56170028381579
116,2.993,2.15325643607169
117,3.010,1.98844292209232
118,3.026,1.77573177794828
119,3.043,1.61940181901996
120,3.060,1.47527905156116
121,3.076,1.37713476402188
122,3.093,1.3461654938481
123,3.110,1.22291056771641
124,3.126,1.15399598760954
125,3.143,1.07748411961524
126,3.160,1.06932994050956
127,3.176,1.06024258621088
128,3.193,1.04988270998499
129,3.210,0.991898833765775
130,3.226,0.955975101272396
131,3.243,0.945210218401609
132,3.260,0.876170153650944
133,3.276,0.858006039016748
134,3.293,0.813380073944095
135,3.310,0.813687072266755
136,3.326,0.772980930213687
137,3.343,0.791576621378981
138,3.360,0.786724246340702
139,3.377,0.743388591989011
140,3.393,0.759345763154389
141,3.410,0.698599978423213
142,3.426,0.702443604221175
143,3.443,0.685912432870304
144,3.460,0.664900921540189
145,3.477,0.695535490460928
146,3.493,0.651438940284982
147,3.510,0.65732561471001
148,3.527,0.645885097590093
149,3.543,0.621810118037462
150,3.560,0.63103360759529
151,3.577,0.601453676204469
152,3.593,0.598964434776284
153,3.610,0.590185608409922
154,3.627,0.568576472923
155,3.643,0.579654585859478
156,3.660,0.580728428488378
157,3.677,0.57233449723258
158,3.693,0.573806038371366
159,3.710,0.564182017693183
160,3.727,0.565147541297738
161,3.743,0.552279501805728
162,3.760,0.542630214242159
163,3.777,0.531147774487297
164,3.793,0.544615704224489
165,3.810,0.545031928006844
166,3.827,0.524750550351287
167,3.843,0.516013080097776
168,3.860,0.492005120108848
169,3.877,0.505422176162012
170,3.893,0.536912136792262
171,3.910,0.520577095390283
172,3.927,0.484777941105342
173,3.943,0.484042255514263
174,3.960,0.512826619928685
175,3.977,0.497672663787973
176,3.993,0.492626764802434
177,4.010,0.519836594361407
178,4.027,0.471839737852008
179,4.043,0.497939382389759
180,4.060,0.478990804612204
181,4.077,0.473224629436539
182,4.093,0.46725555437296
183,4.110,0.467512018924847
184,4.127,0.453508187612974
185,4.143,0.480475035845892
186,4.160,0.470377657632189
187,4.177,0.456318760372793
188,4.193,0.448994366177982
189,4.210,0.442850943940019
190,4.227,0.437314691756145
191,4.243,0.414187815253683
192,4.260,0.449858567306052
193,4.277,0.435308155478028
194,4.293,0.4048752684227
195,4.310,0.405048850792257
196,4.327,0.414931772067332
197,4.343,0.410894848930947
198,4.360,0.404890111301559
199,4.377,0.377711497109958
200,4.393,0.381210252583286
201,4.410,0.412643221090894
202,4.427,0.367556107033844
203,4.443,0.381920954550026
204,4.460,0.374965734477675
205,4.477,0.357914920736217
206,4.493,0.375537440248688
207,4.510,0.382154333326589
208,4.527,0.341152580044949
209,4.543,0.32872778743917
210,4.560,0.358719013870129
211,4.577,0.369116053945376
212,4.593,0.340745363963887
213,4.610,0.346843266151608
214,4.627,0.343418130224376
215,4.643,0.326696777406599
216,4.660,0.326231351180393
217,4.677,0.333071000745597
218,4.693,0.341954293786067
219,4.710,0.337891055698422
220,4.727,0.352841205515869
221,4.743,0.326081251151626
222,4.760,0.315032682342342
223,4.777,0.332415959574579
224,4.794,0.30855461550354
225,4.810,0.321481318358369
226,4.827,0.288713708775955
227,4.844,0.316721909595691
228,4.860,0.290685942141289
229,4.877,0.332012879104802
230,4.894,0.305296943507251
231,4.910,0.300680978138737
232,4.927,0
233,4.944,0.282481002656001
234,4.960,0.280828967578113
235,4.977,0.284158814489159
236,4.994,0.288259528013312
237,5.010,0.270991906266536
238,5.027,0.313289465533448
239,5.044,0
240,5.060,0.289925584513023
241,5.077,0.299228273859572
242,5.094,0.279273836104379
243,5.110,0.259128253794719
244,5.127,0.265832221318446
245,5.144,0.278415668436609
246,5.160,0.261254156278011
247,5.177,0.251981350971913
248,5.194,0.261034742271061
249,5.210,0.241087782607507
250,5.227,0.249107186107058
251,5.244,0.240359461803648
252,5.260,0.271993149089109
253,5.277,0.238144558699412
254,5.294,0.255366008895539
255,5.310,0.236282032337552
256,5.327,0.241446787658382
257,5.344,0
258,5.360,0
259,5.377,0.231165374742491
260,5.394,0.229508198476601
261,5.410,0.230825503975335
262,5.427,0.220020567992513
263,5.444,0.208958983338123
264,5.460,0.220123689176647
265,5.477,0.217163497931841
266,5.494,0
267,5.510,0
268,5.527,0.199537848384801
269,5.544,0
270,5.560,0
271,5.577,0
272,5.594,0
273,5.610,0
274,5.627,0
275,5.644,0
276,5.660,0
277,5.677,0
278,5.694,0
279,5.710,0
280,5.727,0
281,5.744,0
282,5.760,0
283,5.777,0
284,5.794,0
285,5.810,0
286,5.827,0
287,5.844,0
288,5.860,0
289,5.877,0
290,5.894,0
291,5.910,0
292,5.927,0
293,5.944,0
294,5.960,0
295,5.977,0
296,5.994,0
297,6.010,0
298,6.027,0
#"+ESI EIC(913.3862) Scan Frag=175.0V PnIA-ClK.d "
#Point,X(Minutes),Y(Counts)
0,1.059,0
1,1.076,0
2,1.093,0
3,1.109,0
4,1.126,0
5,1.143,0
6,1.159,0
7,1.176,0
8,1.193,0
9,1.209,0
10,1.226,0
11,1.243,0
12,1.259,0
13,1.276,0
14,1.293,0
15,1.309,0
16,1.326,0
17,1.343,0
18,1.359,0
19,1.376,0
20,1.393,0.676619575544893
21,1.409,0
22,1.426,0
23,1.443,0
24,1.459,0
25,1.476,0
26,1.493,0
27,1.509,0
28,1.526,0
29,1.543,0
30,1.559,0
31,1.576,0
32,1.593,0
33,1.609,0
34,1.626,0
35,1.643,0
36,1.659,0
37,1.676,0
38,1.693,0
39,1.709,0
40,1.726,0
41,1.743,0
42,1.759,0
43,1.776,0
44,1.793,0
45,1.809,0
46,1.826,0
47,1.843,0
48,1.859,0
49,1.876,0
50,1.893,0
51,1.909,0.743445761735232
52,1.926,0
53,1.943,0
54,1.959,0
55,1.976,0
56,1.993,0
57,2.009,0.666621824553287
58,2.026,0
59,2.043,0
60,2.059,0
61,2.076,0
62,2.093,0
63,2.110,0
64,2.126,0
65,2.143,0
66,2.160,0
67,2.176,0
68,2.193,0
69,2.210,0
70,2.226,0
71,2.243,0
72,2.260,0
73,2.276,0
74,2.293,0
75,2.310,0
76,2.326,0
77,2.343,0.98012241941264
78,2.360,0
79,2.376,0
80,2.393,0
81,2.410,0
82,2.426,0
83,2.443,0
84,2.460,0
85,2.476,0
86,2.493,0
87,2.510,0
88,2.526,0
89,2.543,0
90,2.560,0
91,2.576,0
92,2.593,0
93,2.610,0
94,2.626,0
95,2.643,0
96,2.660,0
97,2.676,0
98,2.693,0
99,2.710,0
100,2.726,0
101,2.743,0
102,2.760,0
103,2.776,0
104,2.793,0
105,2.810,0
106,2.826,0
107,2.843,0
108,2.860,0
109,2.876,0
110,2.893,0
111,2.910,0
112,2.926,11.7040734123227
113,2.943,9.55629934572325
114,2.960,14.2499206649379
115,2.976,34.9281390239552
116,2.993,75.2497671940136
117,3.010,100
118,3.026,89.3986520460127
119,3.043,71.8080529176444
120,3.060,55.4761233367405
121,3.076,41.2254617858344
122,3.093,27.0042135260302
123,3.110,18.6783071708025
124,3.126,13.5074583938764
125,3.143,9.34007526172535
126,3.160,7.72736088808382
127,3.176,5.24904651402635
128,3.193,4.330232703893
129,3.210,0
130,3.226,0
131,3.243,2.40162085998357
132,3.260,0
133,3.276,3.39147553147874
134,3.293,3.49016431929099
135,3.310,3.11083808878929
136,3.326,2.63195870351242
137,3.343,0
138,3.360,0
139,3.377,0
140,3.393,1.91623243107681
141,3.410,0
142,3.426,2.66930077427428
143,3.443,0
144,3.460,0
145,3.477,0
146,3.493,0
147,3.510,0
148,3.527,0
149,3.543,0
150,3.560,0
151,3.577,0
152,3.593,0
153,3.610,2.2273946415251
154,3.627,0
155,3.643,2.57665546538463
156,3.660,0
157,3.677,0
158,3.693,0
159,3.710,0
160,3.727,0
161,3.743,0
162,3.760,0
163,3.777,0
164,3.793,0
165,3.810,0
166,3.827,0
167,3.843,1.61719011658591
168,3.860,1.71962321446482
169,3.877,0
170,3.893,0
171,3.910,1.66205891525219
172,3.927,0
173,3.943,0
174,3.960,0
175,3.977,0
176,3.993,0
177,4.010,0
178,4.027,0
179,4.043,0
180,4.060,0
181,4.077,0
182,4.093,0
183,4.110,0
184,4.127,0
185,4.143,0
186,4.160,0
187,4.177,0
188,4.193,0
189,4.210,0
190,4.227,0
191,4.243,0
192,4.260,0
193,4.277,0
194,4.293,0
195,4.310,0
196,4.327,0
197,4.343,0
198,4.360,0
199,4.377,0
200,4.393,0
201,4.410,0
202,4.427,0
203,4.443,0
204,4.460,0
205,4.477,0
206,4.493,0
207,4.510,0
208,4.527,0
209,4.543,0
210,4.560,0
211,4.577,0
212,4.593,0
213,4.610,0
214,4.627,0
215,4.643,0
216,4.660,0
217,4.677,0
218,4.693,0
219,4.710,0
220,4.727,0
221,4.743,0
222,4.760,0
223,4.777,0
224,4.794,0
225,4.810,0
226,4.827,0
227,4.844,0
228,4.860,0
229,4.877,0
230,4.894,0
231,4.910,0
232,4.927,0
233,4.944,0
234,4.960,0
235,4.977,0
236,4.994,0
237,5.010,0
238,5.027,0
239,5.044,0
240,5.060,0
241,5.077,0
242,5.094,0
243,5.110,0
244,5.127,0
245,5.144,0
246,5.160,0
247,5.177,0
248,5.194,0
249,5.210,0
250,5.227,0
251,5.244,0
252,5.260,0
253,5.277,0
254,5.294,0
255,5.310,0
256,5.327,0
257,5.344,0
258,5.360,0
259,5.377,0
260,5.394,0
261,5.410,0
262,5.427,0
