,astA_AB_MRM1
256,43.78000259
257,43.86000443
258,43.80000305
259,43.76000214
260,43.84000397
261,43.98000336
262,44.06000137
263,44.08000183
264,44.10000229
265,44.08000183
266,44.06000137
267,44.12000275
268,44.06000137
269,44.10000229
270,44.10000229
271,44.12000275
272,44.22000504
273,44.30000305
274,44.30000305
275,44.32000351
276,44.26000214
277,44.34000397
278,44.22000504
279,44.20000458
280,44.34000397
281,44.18000412
282,44.18000412
283,44.24000168
284,44.12000275
285,44.22000504
286,44.12000275
287,44.08000183
288,44.02000427
289,43.84000397
290,43.80000305
291,43.70000458
292,43.50000381
293,43.52000427
294,43.44000244
295,43.4600029
296,43.56000137
297,43.52000427
298,43.48000336
299,43.4600029
300,43.48000336
301,43.50000381
302,43.58000183
303,43.68000412
304,43.70000458
305,43.74000168
306,43.9600029
307,44.20000458
308,44.20000458
309,44.12000275
310,44.08000183
311,43.9600029
312,43.80000305
313,43.76000214
314,43.70000458
315,43.56000137
316,43.40000153
317,43.54000473
318,43.62000275
319,43.60000229
320,43.54000473
321,43.50000381
322,43.44000244
323,43.38000488
324,43.30000305
325,43.32000351
326,43.22000122
327,43.16000366
328,43.16000366
329,43.1400032
330,43.24000168
331,43.32000351
332,43.28000259
333,43.42000198
334,43.48000336
335,43.50000381
336,43.58000183
337,43.6400032
338,43.68000412
339,43.56000137
340,43.54000473
341,43.60000229
342,43.48000336
343,43.4600029
344,43.52000427
345,43.50000381
346,43.52000427
347,43.54000473
348,43.6400032
349,43.60000229
350,43.60000229
351,43.68000412
352,43.74000168
353,43.72000122
354,43.74000168
355,43.68000412
356,43.60000229
357,43.54000473
358,43.54000473
359,43.52000427
360,43.50000381
361,43.50000381
362,43.52000427
363,43.70000458
364,43.84000397
365,43.94000244
366,44.00000381
367,44.00000381
368,44.04000473
369,44.00000381
370,43.94000244
371,43.94000244
372,43.76000214
373,43.68000412
374,43.62000275
375,43.6400032
376,43.72000122
377,43.76000214
378,43.78000259
379,43.82000351
380,43.92000198
381,44.06000137
382,44.10000229
383,44.1400032
384,44.18000412
385,44.08000183
386,44.04000473
387,44.08000183
388,44.02000427
389,43.88000488
390,43.90000153
391,43.92000198
392,43.86000443
393,43.80000305
394,43.76000214
395,43.78000259
396,43.78000259
397,43.86000443
398,43.86000443
399,43.84000397
400,43.98000336
401,44.02000427
402,44.08000183
403,44.20000458
404,44.16000366
405,44.18000412
406,44.20000458
407,44.28000259
408,44.22000504
409,44.12000275
410,44.12000275
411,44.06000137
412,43.92000198
413,43.88000488
414,43.80000305
415,43.66000366
416,43.52000427
417,43.52000427
418,43.56000137
419,43.62000275
420,43.60000229
421,43.68000412
422,43.72000122
423,43.76000214
424,43.74000168
425,43.82000351
426,43.80000305
427,43.82000351
428,43.9600029
429,44.10000229
430,44.22000504
431,44.30000305
432,44.56000137
433,44.66000366
434,44.68000412
435,44.70000458
436,44.58000183
437,44.44000244
438,44.32000351
439,44.36000443
440,44.4600029
441,44.30000305
442,44.48000336
443,44.42000198
444,44.42000198
445,44.62000275
446,44.70000458
447,44.66000366
448,44.48000336
449,44.50000381
450,44.48000336
451,44.36000443
452,44.38000488
453,44.28000259
454,44.02000427
455,44.00000381
456,44.16000366
457,44.26000214
458,44.16000366
459,44.28000259
460,44.34000397
